"ï..Record.ID","Survey.Identifier","Survey.Timestamp","Participant.classification","Please.enter.your.classification","College","Main.department","Main.department.1","Please.write.down.your.main.department","Gender","Race.Ethnicity","Please.enter.your.ethnicity","What.type.of.computer.user.are.you.","My.primary.computer.is.a","What.year.was.your.computer.purchased.","What.is.the.size.of.your.computer.screen.","The.screen.size.of.your.computer","Do.you.have.a.warranty.on.your.computer.","Warranty.on.your.computer","Do.you.have.a.webcam.","How.would.you.rate.your.computer.","What.model.is.your.computer.","Computer.model","Computer.ownership","Computer.ownership.1","What.is.the.operating.system.that.you.use.","Operating.system","Operating.system.version","Operating.system.version.1","Computer.processor","Please.write.your.computer.processor","Computer.memory.size..RAM.","Computer.hard.disk","Current.size.of.your.data.in.the.computer.s.hard.disk","Do.you.backup.the.data.from.your.computer.","What.backup.method.do.you.use.","Brand.of.external.back.up.disk","Please.write.down.the.brand.of.external.back.up.disk","Brand.of.cloud","Please.write.down.the.brand.of.your.cloud.back.up","Backup.frequency","Have.you.set.up.automatic.backups.","Have.you.experienced.a.catastrophic.loss.of.data.in.the.last.three.years.","Are.you.familiar.with.the.UH.Microsoft.365.OneDrive.for.automated..incremental.backups.","Do.you.have.a.secondary.computer.device.","Is.it.synced.with.your.primary.computer.device.","Do.you.have.a.smartphone.","Smartphone.brand","Please.write.down.the.name.of.your.smartphone","Smartphone.model","Please.write.down.the.model.of.your.smartphone","Do.you.have.a.smartwatch.","Smartwatch.brand","Please.write.down.the.name.of.your.smartwatch","Smartwatch.model","Please.write.down.the.model.of.your.smartwatch","What.is.your.preferred.course.delivery.format.for.courses.in.the.Fall.2020.semester.","How.confident.do.you.feel.installing.and.configuring.software..docker.containers..VPN..backup.software..and.others..by.yourself.on.your.computer.","Speed.of.your.home.Internet","Given.your.online.course.experience.from.Spring.2020..how.reliable.has.your.Internet.connectivity.been.overall.","If.you.were.provided.adequate.IT.support.to.setup.your.primary.computers.with.needed.coursework.software..how.likely.would.you.use.the.on.campus.Computer.Labs.in.a.future.semester.","Would.it.be.beneficial.for.IT.personnel.to.have.office.hours..like.a.help.desk..to.assist.you.with.with.course.related.software.issues..general.computer.systems.issues..and.other.related.challenges.","Complete."
607,NA,"2020-07-27 15:20:25","Senior","","College of Natural Sciences and Mathematics","Biology and Biochemistry","","","Female","White","","Standard User","Laptop",2010,"13''","","No","","Built-in","Fair","Apple Macbook Air","","Own","","Mac OS","","Other","Unsure","Other","Unknown","16 GB","128 GB","< 100 GB","No","","","","","","","","No","No","No","","No","","","","","No","","","","","Fully Online","Not confident","< 100 Mbps","Average","Somewhat likely","Yes","Complete"
667,NA,"2020-07-27 15:28:59","Junior","","College of Natural Sciences and Mathematics","Mathematics","","","Male","White","","Standard User","Laptop",2019,"13''","","No","","Built-in","Good","Other","HP Pavillion","Own","","Windows OS","","Windows 10 Home","","Intel Core i5","","8 GB","512 GB","100 GB - 500 GB","No","","","","","","","","No","No","No","","Yes","iPhone","","iPhone X Series","","No","","","","","Fully Online","Moderately confident","100 - 300 Mbps","Average","Neither likely nor unlikely","Maybe","Complete"
671,NA,"2020-07-27 15:29:40","Freshman","","College of Natural Sciences and Mathematics","Other","","Kinesiology","Female","Hispanic","","Standard User","Laptop",2020,"13''","","No","","Built-in","Excellent","Apple Macbook Air","","Own","","Mac OS","","High Sierra","","Intel Core i9","","16 GB","128 GB","100 GB - 500 GB","Yes","Cloud","","","Apple iCloud","","Daily","Yes","No","Yes","Yes","No","Yes","iPhone","","iPhone 8","","No","","","","","Face-to-Face","Not confident","100 - 300 Mbps","Good","Neither likely nor unlikely","Yes","Complete"
739,NA,"2020-07-27 15:47:42","Junior","","College of Natural Sciences and Mathematics","Other","","nursing","Female","Hispanic","","Standard User","Laptop",2018,"13''","","Other","not sure","Built-in","Good","Apple Macbook Pro","","Own","","Mac OS","","Catalina","","Other","not sure","32 GB","> 1 TB","> 1 TB","No","","","","","","","","No","No","Yes","No","Yes","iPhone","","iPhone X Series","","Yes","Apple Watch","","Other","first gen","Face-to-Face","Neutral","> 500 Mbps","Good","Neither likely nor unlikely","Maybe","Complete"
779,NA,"2020-07-27 15:57:11","Junior","","College of Natural Sciences and Mathematics","Biology and Biochemistry","","","Male","Hispanic","","Standard User","Laptop",2016,"13''","","No","","Built-in","Fair","Other","Lenovo T430","Own","","Windows OS","","Windows 10 Home","","Intel Core i5","","8 GB","128 GB","100 GB - 500 GB","Yes","Cloud","","","Microsoft OneDrive","","Daily","Yes","No","Yes","No","","Yes","iPhone","","Other","Iphone 7","No","","","","","Hybrid/Blended","Very confident","> 500 Mbps","Good","Neither likely nor unlikely","Yes","Complete"
828,NA,"2020-07-27 16:13:23","Junior","","College of Natural Sciences and Mathematics","Biology and Biochemistry","","","Female","White","","Standard User","Laptop",2017,"13''","","No","","Built-in","Excellent","Apple Macbook Air","","Own","","Mac OS","","Catalina","","Intel Core i5","","8 GB","128 GB","100 GB - 500 GB","Yes","Cloud","","","Google Drive","","Monthly","Yes","No","No","No","","Yes","iPhone","","iPhone X Series","","No","","","","","Hybrid/Blended","Moderately confident","< 100 Mbps","Poor","Somewhat likely","Yes","Complete"
851,NA,"2020-07-27 16:20:50","Senior","","College of Natural Sciences and Mathematics","Other","","NUTR ","Female","White","","Standard User","Laptop",2014,"13''","","No","","Built-in","Average","Dell Inspiron 3000","","Own","","Windows OS","","Windows 10 Home","","Intel Core i5","","16 GB","512 GB","100 GB - 500 GB","No","","","","","","","","No","No","No","","Yes","iPhone","","Other","6s","No","","","","","Face-to-Face","Neutral","> 500 Mbps","Good","Very likely","Yes","Complete"
884,NA,"2020-07-27 16:33:52","Junior","","College of Natural Sciences and Mathematics","Other","","Pharmacy","Male","Other","Middle eastern","Standard User","Laptop",2016,"14''","","No","","No","Excellent","Apple Macbook Pro","","Own","","Mac OS","","Catalina","","Intel Core i5","","4 GB","128 GB","< 100 GB","No","","","","","","","","Yes","Yes","No","","Yes","iPhone","","iPhone X Series","","Yes","Apple Watch","","Apple Watch 3","","Fully Online","Neutral","< 100 Mbps","Excellent","Somewhat unlikely","No","Complete"
913,NA,"2020-07-27 16:55:36","Senior","","College of Natural Sciences and Mathematics","Biology and Biochemistry","","","Male","White","","Standard User","Laptop",2015,"14''","","No","","Built-in","Average","Microsoft Surface","","Own","","Windows OS","","Windows 10 Home","","Intel Core i5","","8 GB","128 GB","< 100 GB","No","","","","","","","","Yes","No","No","","Yes","iPhone","","Other","iPhone 6","No","","","","","Face-to-Face","Moderately confident","100 - 300 Mbps","Fair","Somewhat unlikely","Maybe","Complete"
965,NA,"2020-07-27 17:43:26","Sophomore","","College of Natural Sciences and Mathematics","Biology and Biochemistry","","","Female","Hispanic","","Standard User","Laptop",2017,"13''","","Other","2 year ","Built-in","Average","Apple Macbook Air","","Own","","Mac OS","","Other","iOs","Other","I don't know ","> 32 GB","128 GB","100 GB - 500 GB","Yes","Cloud","","","Apple iCloud","","Monthly","No","No","No","No","","Yes","iPhone","","Other","iPhone 7","No","","","","","Face-to-Face","Not confident","100 - 300 Mbps","Fair","Somewhat unlikely","Maybe","Complete"
