"Record ID","Survey Identifier","Survey Timestamp","Participant classification","Please enter your classification",College,"Main department","Main department","Please write down your main department",Gender,Race/Ethnicity,"Please enter your ethnicity","What type of computer user are you?","My primary computer is a","What year was your computer purchased?","What is the size of your computer screen?","The screen size of your computer","Do you have a warranty on your computer?","Warranty on your computer","Do you have a webcam?","How would you rate your computer?","What model is your computer?","Computer model","Computer ownership","Computer ownership","What is the operating system that you use?","Operating system","Operating system version","Operating system version","Computer processor","Please write your computer processor","Computer memory size (RAM)","Computer hard disk","Current size of your data in the computer's hard disk","Do you backup the data from your computer?","What backup method do you use?","Brand of external back-up disk","Please write down the brand of external back-up disk","Brand of cloud","Please write down the brand of your cloud back-up","Backup frequency","Have you set up automatic backups?","Have you experienced a catastrophic loss of data in the last three years?","Are you familiar with the UH Microsoft 365 OneDrive for automated, incremental backups?","Do you have a secondary computer device?","Is it synced with your primary computer device?","Do you have a smartphone?","Smartphone brand","Please write down the name of your smartphone","Smartphone model","Please write down the model of your smartphone","Do you have a smartwatch?","Smartwatch brand","Please write down the name of your smartwatch","Smartwatch model","Please write down the model of your smartwatch","What is your preferred course delivery format for courses in the Fall 2020 semester?","How confident do you feel installing and configuring software (docker containers, VPN, backup software, and others) by yourself on your computer?","Speed of your home Internet","Given your online course experience from Spring 2020, how reliable has your Internet connectivity been overall?","If you were provided adequate IT support to setup your primary computers with needed coursework software, how likely would you use the on campus Computer Labs in a future semester?","Would it be beneficial for IT personnel to have office hours (like a help desk) to assist you with with course-related software issues, general computer systems issues, and other related challenges?",Complete?
1,,"[not completed]",Senior,,,"Computer Science",,,Male,"African American",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Face-to-Face,,,,,,Incomplete
2,,"[not completed]",Freshman,,,Chemistry,,,Male,"African American",,,Laptop,,14'',,"3 year",,External,Good,,,"University property",,"Windows OS",,,,,,"16 GB","1 TB",,Yes,Both,WD,,"Google Drive",,Weekly,Yes,No,No,Yes,No,,Google,,,,,Fitbit,,,,Face-to-Face,,,,,,Incomplete
3,,"2020-06-15 17:36:48","Doctoral Student (PhD)",,,"Computer Science",,,Male,"International (visa holders)",,,Laptop,,14'',,"1 year",,"Built-in to my computer",Good,,,"University property",,"Chrome OS",,,,,,"16 GB","512 GB",,Yes,Both,WD,,"Google Drive",,Daily,Yes,No,No,Yes,No,,Samsung,,,,,Samsung,,,,"Fully Online",Neutral,,Average,"Neither likely nor unlikely",Maybe,Complete
4,,"2020-06-16 08:34:34",Freshman,,,"Biology and Biochemistry",,,Male,White,,,Laptop,,15'',,"3 year",,"Built-in to my computer",Average,,,"University property",,"Mac OS",,,,,,"4 GB","128 GB",,Yes,Cloud,,,"Microsoft OneDrive",,Weekly,Yes,Yes,Yes,Yes,Yes,,Samsung,,,,,Samsung,,,,Face-to-Face,"Somewhat confident",,Average,"Neither likely nor unlikely",Maybe,Complete
5,,"2020-06-16 10:41:43",Senior,,,"Computer Science",,,Male,"International (visa holders)",,,Laptop,,14'',,"1 year",,"Built-in to my computer",Average,,,Own,,"Windows OS",,,,,,"16 GB","512 GB",,Yes,Both,WD,,"Microsoft OneDrive",,Weekly,Yes,Yes,Yes,Yes,No,,Google,,,,,Samsung,,,,Hybrid/Blended,Neutral,,Average,"Neither likely nor unlikely",Maybe,Complete
6,,"2020-06-16 14:07:38",Sophomore,,,"Computer Science",,,Male,"Asian American",,,Laptop,2019,14'',,"3 year",,External,Average,"Lenovo Yoga",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"8 GB","256 GB","100 GB - 500 GB",Yes,Both,WD,,"Google Drive",,Daily,Yes,No,Yes,Yes,No,No,,,,,No,,,,,Hybrid/Blended,Neutral,"100 - 300 Mbps",Average,"Neither likely nor unlikely",Maybe,Complete
7,,"[not completed]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
8,,"2020-06-16 14:12:29","Post-Baccalaureate (non-degree option)",,,"Computer Science",,,Female,"International (visa holders)",,,Laptop,2019,14'',,"3 year",,External,Average,"Apple Macbook Air",,"University property",,"Windows OS",,"Windows 10 Home",,"Intel Core i9",,"16 GB","512 GB","100 GB - 500 GB",No,,,,,,,,Yes,Yes,Yes,No,Yes,Google,,"Google Pixel 4",,Yes,Samsung,,"Samsung Galaxy Watch",,Hybrid/Blended,Neutral,"100 - 300 Mbps",Average,"Neither likely nor unlikely",Maybe,Complete
9,,"2020-06-16 15:30:48",Senior,,,Chemistry,,,Female,"International (visa holders)",,,Laptop,2019,14'',,"3 year",,External,Average,"Dell Inspiron 7000",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"16 GB","512 GB","100 GB - 500 GB",Yes,Both,WD,,"Google Drive",,Weekly,Yes,No,Yes,No,,Yes,iPhone,,"Google Pixel 4",,Yes,Samsung,,"Samsung Galaxy Watch",,"Fully Online",Neutral,"< 100 Mbps",Average,"Neither likely nor unlikely",Maybe,Complete
10,,"2020-06-16 17:36:43","Masters Student (MS)",,,"Computer Science",,,Male,"International (visa holders)",,,Laptop,2019,14'',,"1 year",,"Built-in to my computer",Good,"Apple Macbook Air",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"16 GB","512 GB","100 GB - 500 GB",Yes,Both,WD,,"Google Drive",,Weekly,Yes,No,Yes,No,,Yes,iPhone,,"iPhone 8",,Yes,"Apple Watch",,"Apple Watch 4",,"Fully Online",Neutral,"< 100 Mbps",Average,"Neither likely nor unlikely",Maybe,Complete
